fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
15045117,4,1,8,4,67,0,0,1,0,30
415000,1,0,1,1,9,0,0,0,0,25
415000,1,0,2,1,9,0,0,0,0,25
455000,1,0,3,1,6,0,0,0,0,25
1039988,3,0,3,1,10,0,1,0,0,30
15000,1,0,1,0,6,0,0,0,0,25
515000,2,1,10,0,9,0,1,1,0,25
15000,2,0,8,0,13,0,1,0,0,25
1107215000,3,1,6,2,143,5,1,0,0,25
1107215000,1,0,1,2,140,0,0,0,0,29
889999,3,0,3,3,2,0,0,0,0,25
889999,1,0,2,3,2,0,0,0,0,25
889999,1,1,5,3,2,0,0,0,0,25
0,2,0,2,0,0,0,0,1,1,25
2515000,1,0,1,3,10,0,0,0,0,25
0,1,1,10,0,16,1,0,0,0,74
0,2,1,36,0,4,5,1,0,0,63
0,2,1,11,0,23,15,1,0,0,59
25100000,1,0,1,116,4612,3,1,0,1,25
13000000,1,0,5,0,0,0,0,1,0,49
33500000,2,1,8,1,37,4,0,1,0,25
0,3,1,4,1,22,9,1,0,1,25
8000000,4,0,10,1,18,0,1,0,0,41
69500000,3,1,12,1,20,81,1,0,0,25
8000000,1,0,5,1,18,16,0,0,0,37
0,1,0,3,1,3,0,0,0,0,25
0,3,0,3,1,4,0,0,0,0,25
5700000,1,1,7,1,8,6,0,0,0,25
5700000,2,0,2,3,24,2,0,1,0,25
5700000,1,1,3,1,8,0,0,0,0,25
50000,2,1,3,2,17,0,0,0,0,25
0,2,1,7,0,1,48,0,1,0,56
22000000,2,1,7,7,564,0,0,1,0,48
0,1,0,1,2,513,0,0,0,0,39
74675009,3,1,8,6,527,2,0,0,0,25
5750000,2,0,2,2,5,0,0,0,0,25
5750000,1,0,1,2,5,0,0,0,0,25
30000000,1,0,3,0,4,0,0,0,0,25
30000000,1,0,2,0,4,4,0,0,0,25
12300000,4,0,5,1,7,1,0,0,0,45
0,1,0,2,4,0,0,0,0,0,25
4000000,1,1,2,3,40,0,0,1,0,36
0,2,1,12,0,26,0,0,0,0,25
9700000,1,1,3,0,0,0,0,0,0,25
26500000,1,1,2,1,6,0,0,0,0,25
26500000,1,0,1,1,6,0,0,0,0,25
0,1,0,2,0,0,0,0,0,0,25
